CI,Nombres,"Apellido Paterno","Apellido Materno",Email,Sexo,Colegio,Ciudad,Carrera,"Monto Pago","Metodo Pago","Nro Recibo",Materia,Grupo,"CI Docente","Nombre Docente","Apellido Docente","Profesion Docente","Hora Semanal Docente","Nota P1","Nota P2","Nota P3","Promedio Final","Estado Materia"
10000000,Miguel,Perez,Martinez,miguel.perez.10000000@test.com,M,Marista,Pando,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000000,MAT100,M003,10500008,Gabriela,Garcia,"Licenciado en Matematicas",30,28,11,21,60,Aprobado
10000000,Miguel,Perez,Martinez,miguel.perez.10000000@test.com,M,Marista,Pando,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000000,FIS100,M003,10500009,Miguel,Perez,Fisico,35,21,13,15,49,Reprobado
10000000,Miguel,Perez,Martinez,miguel.perez.10000000@test.com,M,Marista,Pando,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000000,INF100,M003,10500010,Valeria,Vargas,"Ingeniero Informatico",40,22,33,13,68,Aprobado
10000000,Miguel,Perez,Martinez,miguel.perez.10000000@test.com,M,Marista,Pando,"Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000000,LIN100,M003,10500011,Paula,Sanchez,"Licenciado en Filologia",30,2,31,21,54,Reprobado
10000001,Fernando,Rodriguez,Fernandez,fernando.rodriguez.10000001@test.com,M,"Domingo Savio",Sucre,"Ingenieria Informatica",700,PayPal,REC-TEST-10000001,MAT100,T001,10500012,Andres,Gomez,"Licenciado en Matematicas",34,28,26,19,73,Aprobado
10000001,Fernando,Rodriguez,Fernandez,fernando.rodriguez.10000001@test.com,M,"Domingo Savio",Sucre,"Ingenieria Informatica",700,PayPal,REC-TEST-10000001,FIS100,T001,10500013,Sofia,Rojas,Fisico,40,7,21,24,52,Reprobado
10000001,Fernando,Rodriguez,Fernandez,fernando.rodriguez.10000001@test.com,M,"Domingo Savio",Sucre,"Ingenieria Informatica",700,PayPal,REC-TEST-10000001,INF100,T001,10500014,Marta,Fernandez,"Ingeniero Informatico",20,2,4,21,27,Reprobado
10000001,Fernando,Rodriguez,Fernandez,fernando.rodriguez.10000001@test.com,M,"Domingo Savio",Sucre,"Ingenieria Informatica",700,PayPal,REC-TEST-10000001,LIN100,T001,10500015,Jorge,Sanchez,"Licenciado en Filologia",28,26,13,25,64,Aprobado
10000002,Marta,Martinez,Ramirez,marta.martinez.10000002@test.com,F,"Nacional Florida",Tarija,"Ingenieria en Redes",700,PayPal,REC-TEST-10000002,MAT100,M001,10500000,Maria,Rodriguez,"Licenciado en Matematicas",37,2,3,13,18,Reprobado
10000002,Marta,Martinez,Ramirez,marta.martinez.10000002@test.com,F,"Nacional Florida",Tarija,"Ingenieria en Redes",700,PayPal,REC-TEST-10000002,FIS100,M001,10500001,Fernando,Garcia,Fisico,11,25,20,22,67,Aprobado
10000002,Marta,Martinez,Ramirez,marta.martinez.10000002@test.com,F,"Nacional Florida",Tarija,"Ingenieria en Redes",700,PayPal,REC-TEST-10000002,INF100,M001,10500002,Pedro,Lopez,"Ingeniero Informatico",15,3,19,1,23,Reprobado
10000002,Marta,Martinez,Ramirez,marta.martinez.10000002@test.com,F,"Nacional Florida",Tarija,"Ingenieria en Redes",700,PayPal,REC-TEST-10000002,LIN100,M001,10500003,Pedro,Sanchez,"Licenciado en Filologia",30,31,30,32,93,Aprobado
10000003,Luis,Garcia,Sanchez,luis.garcia.10000003@test.com,M,Marista,Potosi,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000003,MAT100,T001,10500012,Andres,Gomez,"Licenciado en Matematicas",34,11,31,23,65,Aprobado
10000003,Luis,Garcia,Sanchez,luis.garcia.10000003@test.com,M,Marista,Potosi,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000003,FIS100,T001,10500013,Sofia,Rojas,Fisico,40,3,31,1,35,Reprobado
10000003,Luis,Garcia,Sanchez,luis.garcia.10000003@test.com,M,Marista,Potosi,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000003,INF100,T001,10500014,Marta,Fernandez,"Ingeniero Informatico",20,23,7,14,44,Reprobado
10000003,Luis,Garcia,Sanchez,luis.garcia.10000003@test.com,M,Marista,Potosi,"Ingenieria en Redes",700,"Transferencia Bancaria",REC-TEST-10000003,LIN100,T001,10500015,Jorge,Sanchez,"Licenciado en Filologia",28,18,31,29,78,Aprobado
10000004,Luis,Fernandez,Fernandez,luis.fernandez.10000004@test.com,M,"Nacional Florida","La Paz","Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000004,MAT100,N001,10500016,Maria,Fernandez,"Licenciado en Matematicas",16,30,15,29,74,Aprobado
10000004,Luis,Fernandez,Fernandez,luis.fernandez.10000004@test.com,M,"Nacional Florida","La Paz","Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000004,FIS100,N001,10500017,Carlos,Gomez,Fisico,27,24,20,28,72,Aprobado
10000004,Luis,Fernandez,Fernandez,luis.fernandez.10000004@test.com,M,"Nacional Florida","La Paz","Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000004,INF100,N001,10500018,Paula,Rojas,"Ingeniero Informatico",20,7,32,16,55,Reprobado
10000004,Luis,Fernandez,Fernandez,luis.fernandez.10000004@test.com,M,"Nacional Florida","La Paz","Ingenieria de Sistemas",700,"Transferencia Bancaria",REC-TEST-10000004,LIN100,N001,10500019,Elena,Martinez,"Licenciado en Filologia",27,22,5,28,55,Reprobado
