CI,Nombres,Apellido Paterno,Apellido Materno,Email,Telefono,Cargo,Rol ID,Password
5550001,Juan Carlos,Mendez,Suarez,juan.mendez@ejemplo.com,70011122,Docente Titular,2,
5550002,Maria Elena,Vargas,Paz,maria.vargas@ejemplo.com,70033344,Coordinadora Academica,3,
5550003,Roberto,Gomez,Rojas,roberto.gomez@ejemplo.com,70055566,Postulante,4,
5550004,Lucia,Salazar,Gil,lucia.salazar@ejemplo.com,,Postulante,4,
5550005,Andres,Rios,Pinto,andres.rios@ejemplo.com,70099988,Postulante,4,
5550006,Sofia,Mendoza,Solares,sofia.mendoza@ejemplo.com,70012345,Postulante,4,
5550007,Diego,Camacho,Rioja,diego.camacho@ejemplo.com,70023456,Postulante,4,
5550008,Valeria,Guzman,Flores,valeria.guzman@ejemplo.com,70034567,Postulante,4,
5550009,Sebastian,Rojas,Lopez,sebastian.rojas@ejemplo.com,70045678,Postulante,4,
5550010,Daniela,Cruz,Fernandez,daniela.cruz@ejemplo.com,70056789,Postulante,4,
5550011,Mateo,Pinto,Vargas,mateo.pinto@ejemplo.com,70067890,Postulante,4,
5550012,Valentina,Solares,Rios,valentina.solares@ejemplo.com,70078901,Postulante,4,
5550013,Joaquin,Rioja,Mendoza,joaquin.rioja@ejemplo.com,70089012,Postulante,4,
5550014,Martina,Flores,Torres,martina.flores@ejemplo.com,70090123,Postulante,4,
5550015,Emilio,Torres,Paz,emilio.torres@ejemplo.com,70001234,Postulante,4,
5550016,Camila,Lopez,Gil,camila.lopez@ejemplo.com,70012345,Postulante,4,
5550017,Jose,Fernandez,Cruz,jose.fernandez@ejemplo.com,70023456,Postulante,4,
5550018,Luis,Vargas,Rios,luis.vargas@ejemplo.com,70034567,Postulante,4,
5550019,Ana,Perez,Suarez,ana.perez@ejemplo.com,70045678,Docente Invitado,2,
5550020,Carlos,Mendez,Rojas,carlos.mendez2@ejemplo.com,70056789,Docente Titular,2,
